SibSp,ParCh,Sibling,Spouse,Parent ,Child,Condition,Pas_Sibling,Pas_Spouse,Pas_Parent ,Pas_Child,Pas_Single,Binary,deimal,Type
0,1,0,0,1,0,SibSp == 0 and ParCh == 1,0,0,0,1,0,00010,2,Child
0,2,0,0,2,0,SibSp == 0 and ParCh == 2,0,0,0,1,0,00010,2,Child
0,1,0,0,0,1,SibSp == 0 and ParCh == 1,0,0,1,0,0,00100,4,Parent
0,2,0,0,0,2,SibSp == 0 and ParCh == 2,0,0,1,0,0,00100,4,Parent
0,3,0,0,0,3,SibSp == 0 and ParCh > 2,0,0,1,0,0,00100,4,Parent
0,2,0,0,1,1,SibSp == 0 and ParCh == 2,0,0,1,1,0,00110,6,Parent & Child
0,3,0,0,2,1,SibSp == 0 and ParCh > 2,0,0,1,1,0,00110,6,Parent & Child
0,3,0,0,1,2,SibSp == 0 and ParCh > 2,0,0,1,1,0,00110,6,Parent & Child
1,0,1,0,0,0,SibSp == 1 and ParCh == 0,1,0,0,0,0,10000,16,Sibling
2,0,2,0,0,0,SibSp == 2 and ParCh == 0,1,0,0,0,0,10000,16,Sibling
3,0,3,0,0,0,SibSp > 2 and ParCh == 0,1,0,0,0,0,10000,16,Sibling
1,1,1,0,1,0,SibSp == 1 and ParCh == 1,1,0,0,1,0,10010,18,Sibling and Child
2,1,2,0,1,0,SibSp == 2 and ParCh == 1,1,0,0,1,0,10010,18,Sibling and Child
1,2,1,0,2,0,SibSp == 1 and ParCh == 2,1,0,0,1,0,10010,18,Sibling and Child
2,2,2,0,2,0,SibSp == 2 and ParCh == 2,1,0,0,1,0,10010,18,Sibling and Child
3,2,3,0,2,0,SibSp > 2 and ParCh == 2,1,0,0,1,0,10010,18,Sibling and Child
3,1,3,0,1,0,SibSp > 2 and ParCh == 1,1,0,0,1,0,10010,18,Sibling and Child
1,1,1,0,0,1,SibSp == 1 and ParCh == 1,1,0,1,0,0,10100,20,Sibling and Parent
2,1,2,0,0,1,SibSp == 2 and ParCh == 1,1,0,1,0,0,10100,20,Sibling and Parent
1,2,1,0,0,2,SibSp == 1 and ParCh == 2,1,0,1,0,0,10100,20,Sibling and Parent
2,2,2,0,0,2,SibSp == 2 and ParCh == 2,1,0,1,0,0,10100,20,Sibling and Parent
2,3,2,0,0,3,SibSp == 2 and ParCh > 2,1,0,1,0,0,10100,20,Sibling and Parent
3,2,3,0,0,2,SibSp > 2 and ParCh == 2,1,0,1,0,0,10100,20,Sibling and Parent
1,3,1,0,0,3,SibSp == 1 and ParCh > 2,1,0,1,0,0,10100,20,Sibling and Parent
3,1,3,0,0,1,SibSp > 2 and ParCh == 1,1,0,1,0,0,10100,20,Sibling and Parent
2,0,1,1,0,0,SibSp == 2 and ParCh == 0,1,1,0,0,0,11000,24,Sibling and Spouse
3,0,1,2,0,0,SibSp > 2 and ParCh == 0,1,1,0,0,0,11000,24,Sibling and Spouse
3,0,2,1,0,0,SibSp > 2 and ParCh == 0,1,1,0,0,0,11000,24,Sibling and Spouse
1,2,1,0,1,1,SibSp == 1 and ParCh == 2,1,0,1,1,0,10110,22,Sibling: Parent and Child
2,2,2,0,1,1,SibSp == 2 and ParCh == 2,1,0,1,1,0,10110,22,Sibling: Parent and Child
2,3,2,0,2,1,SibSp == 2 and ParCh > 2,1,0,1,1,0,10110,22,Sibling: Parent and Child
2,3,2,0,1,2,SibSp == 2 and ParCh > 2,1,0,1,1,0,10110,22,Sibling: Parent and Child
3,2,3,0,1,1,SibSp > 2 and ParCh == 2,1,0,1,1,0,10110,22,Sibling: Parent and Child
1,3,1,0,2,1,SibSp == 1 and ParCh > 2,1,0,1,1,0,10110,22,Sibling: Parent and Child
1,3,1,0,1,2,SibSp == 1 and ParCh > 2,1,0,1,1,0,10110,22,Sibling: Parent and Child
2,1,1,1,1,0,SibSp == 2 and ParCh == 1,1,1,0,1,0,11010,26,Sibling: Spouse and Child
2,2,1,1,2,0,SibSp == 2 and ParCh == 2,1,1,0,1,0,11010,26,Sibling: Spouse and Child
3,2,2,1,2,0,SibSp > 2 and ParCh == 2,1,1,0,1,0,11010,26,Sibling: Spouse and Child
3,2,1,2,2,0,SibSp > 2 and ParCh == 2,1,1,0,1,0,11010,26,Sibling: Spouse and Child
3,1,2,1,1,0,SibSp > 2 and ParCh == 1,1,1,0,1,0,11010,26,Sibling: Spouse and Child
3,1,1,2,1,0,SibSp > 2 and ParCh == 1,1,1,0,1,0,11010,26,Sibling: Spouse and Child
2,1,1,1,0,1,SibSp == 2 and ParCh == 1,1,1,1,0,0,11100,28,Sibling: Spouse and Parent
2,2,1,1,0,2,SibSp == 2 and ParCh == 2,1,1,1,0,0,11100,28,Sibling: Spouse and Parent
2,3,1,1,0,3,SibSp == 2 and ParCh > 2,1,1,1,0,0,11100,28,Sibling: Spouse and Parent
3,2,2,1,0,2,SibSp > 2 and ParCh == 2,1,1,1,0,0,11100,28,Sibling: Spouse and Parent
3,2,1,2,0,2,SibSp > 2 and ParCh == 2,1,1,1,0,0,11100,28,Sibling: Spouse and Parent
3,1,2,1,0,1,SibSp > 2 and ParCh == 1,1,1,1,0,0,11100,28,Sibling: Spouse and Parent
3,1,1,2,0,1,SibSp > 2 and ParCh == 1,1,1,1,0,0,11100,28,Sibling: Spouse and Parent
2,2,1,1,1,1,SibSp == 2 and ParCh == 2,1,1,1,1,0,11110,30,Sibling: Spouse:Parent & Child
2,3,1,1,2,1,SibSp == 2 and ParCh > 2,1,1,1,1,0,11110,30,Sibling: Spouse:Parent & Child
2,3,1,1,1,2,SibSp == 2 and ParCh > 2,1,1,1,1,0,11110,30,Sibling: Spouse:Parent & Child
3,2,2,1,1,1,SibSp > 2 and ParCh == 2,1,1,1,1,0,11110,30,Sibling: Spouse:Parent & Child
3,2,1,2,1,1,SibSp > 2 and ParCh == 2,1,1,1,1,0,11110,30,Sibling: Spouse:Parent & Child
0,0,0,0,0,0,SibSp == 0 & ParCh == 0,0,0,0,0,1,00001,1,Single
1,0,0,1,0,0,SibSp == 1 and ParCh == 0,0,1,0,0,0,01000,8,Spouse
2,0,0,2,0,0,SibSp == 2 and ParCh == 0,0,1,0,0,0,01000,8,Spouse
1,1,0,1,1,0,SibSp == 1 and ParCh == 1,0,1,0,1,0,01010,10,Spouse and Child
2,1,0,2,1,0,SibSp == 2 and ParCh == 1,0,1,0,1,0,01010,10,Spouse and Child
1,2,0,1,2,0,SibSp == 1 and ParCh == 2,0,1,0,1,0,01010,10,Spouse and Child
2,2,0,2,2,0,SibSp == 2 and ParCh == 2,0,1,0,1,0,01010,10,Spouse and Child
1,1,0,1,0,1,SibSp == 1 and ParCh == 1,0,1,1,0,0,01100,12,Spouse and Parent
2,1,0,2,0,1,SibSp == 2 and ParCh == 1,0,1,1,0,0,01100,12,Spouse and Parent
1,2,0,1,0,2,SibSp == 1 and ParCh == 2,0,1,1,0,0,01100,12,Spouse and Parent
2,2,0,2,0,2,SibSp == 2 and ParCh == 2,0,1,1,0,0,01100,12,Spouse and Parent
2,3,0,2,0,3,SibSp == 2 and ParCh > 2,0,1,1,0,0,01100,12,Spouse and Parent
1,3,0,1,0,3,SibSp == 1 and ParCh > 2,0,1,1,0,0,01100,12,Spouse and Parent
1,2,0,1,1,1,SibSp == 1 and ParCh == 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
2,2,0,2,1,1,SibSp == 2 and ParCh == 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
2,3,0,2,2,1,SibSp == 2 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
2,3,0,2,1,2,SibSp == 2 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
1,3,0,1,2,1,SibSp == 1 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
1,3,0,1,1,2,SibSp == 1 and ParCh > 2,0,1,1,1,0,01110,14,Spouse: Parent and Child
