,s2.i,s1.i,s2name,s1name,jw,jaccard,dl,lv
1288,3,777,KASTA,,NA,NA,5,5
1289,3,778,KASTA,,NA,NA,5,5
1290,3,779,KASTA,,NA,NA,5,5
1291,3,780,KASTA,,NA,NA,5,5
1292,3,781,KASTA,,NA,NA,5,5
1293,3,782,KASTA,,NA,NA,5,5
1294,3,783,KASTA,,NA,NA,5,5
1295,3,784,KASTA,,NA,NA,5,5
1296,3,785,KASTA,,NA,NA,5,5
1297,3,786,KASTA,,NA,NA,5,5
1298,3,787,KASTA,,NA,NA,5,5
1299,3,788,KASTA,,NA,NA,5,5
1300,3,789,KASTA,,NA,NA,5,5
1301,3,790,KASTA,,NA,NA,5,5
1302,3,791,KASTA,,NA,NA,5,5
1303,3,792,KASTA,,NA,NA,5,5
1304,3,793,KASTA,,NA,NA,5,5
1305,3,794,KASTA,,NA,NA,5,5
1306,3,795,KASTA,,NA,NA,5,5
1307,3,796,KASTA,,NA,NA,5,5
1308,3,797,KASTA,,NA,NA,5,5
1309,3,798,KASTA,,NA,NA,5,5
1310,3,799,KASTA,,NA,NA,5,5
1311,3,800,KASTA,,NA,NA,5,5
1312,3,801,KASTA,,NA,NA,5,5
1313,3,802,KASTA,,NA,NA,5,5
1314,3,803,KASTA,,NA,NA,5,5
1315,3,804,KASTA,,NA,NA,5,5
1316,3,805,KASTA,,NA,NA,5,5
1317,3,806,KASTA,,NA,NA,5,5
1318,3,807,KASTA,,NA,NA,5,5
1319,3,808,KASTA,,NA,NA,5,5
1320,3,809,KASTA,,NA,NA,5,5
1321,3,810,KASTA,,NA,NA,5,5
1322,3,811,KASTA,,NA,NA,5,5
1323,3,812,KASTA,,NA,NA,5,5
1324,3,813,KASTA,,NA,NA,5,5
1325,3,814,KASTA,,NA,NA,5,5
1326,3,815,KASTA,,NA,NA,5,5
1327,3,816,KASTA,,NA,NA,5,5
1328,3,817,KASTA,,NA,NA,5,5
1329,3,818,KASTA,,NA,NA,5,5
1330,3,819,KASTA,,NA,NA,5,5
1331,3,820,KASTA,,NA,NA,5,5
1332,3,821,KASTA,,NA,NA,5,5
1333,3,822,KASTA,,NA,NA,5,5
1334,3,823,KASTA,,NA,NA,5,5
1335,3,824,KASTA,,NA,NA,5,5
1336,3,825,KASTA,,NA,NA,5,5
1337,3,826,KASTA,,NA,NA,5,5
1338,3,827,KASTA,,NA,NA,5,5
1339,3,828,KASTA,,NA,NA,5,5
1340,3,829,KASTA,,NA,NA,5,5
1341,3,830,KASTA,,NA,NA,5,5
1342,3,831,KASTA,,NA,NA,5,5
1343,3,832,KASTA,,NA,NA,5,5
1344,3,833,KASTA,,NA,NA,5,5
1345,3,834,KASTA,,NA,NA,5,5
1346,3,835,KASTA,,NA,NA,5,5
1347,3,836,KASTA,,NA,NA,5,5
1348,3,837,KASTA,,NA,NA,5,5
1349,3,838,KASTA,,NA,NA,5,5
1350,3,839,KASTA,,NA,NA,5,5
1351,3,840,KASTA,,NA,NA,5,5
1352,3,841,KASTA,,NA,NA,5,5
1353,3,842,KASTA,,NA,NA,5,5
1354,3,843,KASTA,,NA,NA,5,5
1355,3,844,KASTA,,NA,NA,5,5
1356,3,845,KASTA,,NA,NA,5,5
1357,3,846,KASTA,,NA,NA,5,5
1358,3,847,KASTA,,NA,NA,5,5
1359,3,848,KASTA,,NA,NA,5,5
1360,3,849,KASTA,,NA,NA,5,5
1361,3,850,KASTA,,NA,NA,5,5
1362,3,851,KASTA,,NA,NA,5,5
1363,3,852,KASTA,,NA,NA,5,5
1364,3,853,KASTA,,NA,NA,5,5
1365,3,854,KASTA,,NA,NA,5,5
1366,3,855,KASTA,,NA,NA,5,5
1367,3,856,KASTA,,NA,NA,5,5
1368,3,857,KASTA,,NA,NA,5,5
1369,3,858,KASTA,,NA,NA,5,5
1370,3,859,KASTA,,NA,NA,5,5
1371,3,860,KASTA,,NA,NA,5,5
1372,3,861,KASTA,,NA,NA,5,5
1373,3,862,KASTA,,NA,NA,5,5
1374,3,863,KASTA,,NA,NA,5,5
1375,3,864,KASTA,,NA,NA,5,5
1376,3,865,KASTA,,NA,NA,5,5
1377,3,866,KASTA,,NA,NA,5,5
1378,3,867,KASTA,,NA,NA,5,5
1379,3,868,KASTA,,NA,NA,5,5
1380,3,869,KASTA,,NA,NA,5,5
1381,3,870,KASTA,,NA,NA,5,5
1382,3,871,KASTA,,NA,NA,5,5
1383,3,872,KASTA,,NA,NA,5,5
1384,3,873,KASTA,,NA,NA,5,5
1385,3,874,KASTA,,NA,NA,5,5
1386,3,875,KASTA,,NA,NA,5,5
1387,3,876,KASTA,,NA,NA,5,5
1388,3,877,KASTA,,NA,NA,5,5
1389,3,878,KASTA,,NA,NA,5,5
1390,3,879,KASTA,,NA,NA,5,5
1391,3,880,KASTA,,NA,NA,5,5
1392,3,881,KASTA,,NA,NA,5,5
1393,3,882,KASTA,,NA,NA,5,5
1394,3,883,KASTA,,NA,NA,5,5
1395,3,884,KASTA,,NA,NA,5,5
1396,3,885,KASTA,,NA,NA,5,5
1397,3,886,KASTA,,NA,NA,5,5
1398,3,887,KASTA,,NA,NA,5,5
1399,3,888,KASTA,,NA,NA,5,5
1400,3,889,KASTA,,NA,NA,5,5
1401,3,890,KASTA,,NA,NA,5,5
1402,3,891,KASTA,,NA,NA,5,5
1403,3,892,KASTA,,NA,NA,5,5
1404,3,893,KASTA,,NA,NA,5,5
1405,3,894,KASTA,,NA,NA,5,5
1406,3,895,KASTA,,NA,NA,5,5
1407,3,896,KASTA,,NA,NA,5,5
1408,3,897,KASTA,,NA,NA,5,5
1409,3,898,KASTA,,NA,NA,5,5
1410,3,899,KASTA,,NA,NA,5,5
1411,3,900,KASTA,,NA,NA,5,5
1412,3,901,KASTA,,NA,NA,5,5
1413,3,902,KASTA,,NA,NA,5,5
1414,3,903,KASTA,,NA,NA,5,5
1415,3,904,KASTA,,NA,NA,5,5
1416,3,905,KASTA,,NA,NA,5,5
1417,3,906,KASTA,,NA,NA,5,5
1418,3,907,KASTA,,NA,NA,5,5
1419,3,908,KASTA,,NA,NA,5,5
1420,3,909,KASTA,,NA,NA,5,5
1421,3,910,KASTA,,NA,NA,5,5
1422,3,911,KASTA,,NA,NA,5,5
1423,3,912,KASTA,,NA,NA,5,5
1424,3,913,KASTA,,NA,NA,5,5
1425,3,914,KASTA,,NA,NA,5,5
1426,3,915,KASTA,,NA,NA,5,5
1427,3,916,KASTA,,NA,NA,5,5
1428,3,917,KASTA,,NA,NA,5,5
1429,3,918,KASTA,,NA,NA,5,5
1430,3,919,KASTA,,NA,NA,5,5
1431,3,920,KASTA,,NA,NA,5,5
1432,3,921,KASTA,,NA,NA,5,5
1433,3,922,KASTA,,NA,NA,5,5
1434,3,923,KASTA,,NA,NA,5,5
1435,3,924,KASTA,,NA,NA,5,5
1436,3,925,KASTA,,NA,NA,5,5
1437,3,926,KASTA,,NA,NA,5,5
1438,3,927,KASTA,,NA,NA,5,5
1439,3,928,KASTA,,NA,NA,5,5
1440,3,929,KASTA,,NA,NA,5,5
1441,3,930,KASTA,,NA,NA,5,5
1442,3,931,KASTA,,NA,NA,5,5
1443,3,932,KASTA,,NA,NA,5,5
1444,3,933,KASTA,,NA,NA,5,5
1445,3,934,KASTA,,NA,NA,5,5
1446,3,935,KASTA,,NA,NA,5,5
1447,3,936,KASTA,,NA,NA,5,5
1448,3,937,KASTA,,NA,NA,5,5
1449,3,938,KASTA,,NA,NA,5,5
1450,3,939,KASTA,,NA,NA,5,5
1451,3,940,KASTA,,NA,NA,5,5
1454,4,16,Kerakat S.C.,Meerapur,NA,0.75,NA,NA
1455,4,21,Kerakat S.C.,Nehtaur,NA,0.666666667,NA,NA
1457,4,40,Kerakat S.C.,Naugawan Sadat,NA,NA,10,10
1458,4,46,Kerakat S.C.,Kithore,NA,0.666666667,NA,NA
1459,4,47,Kerakat S.C.,Meerut Cantt.,NA,0.416666667,NA,NA
1462,4,60,Kerakat S.C.,Garhmukteshwar,NA,0.571428571,NA,NA
1463,4,63,Kerakat S.C.,Jewar,NA,0.727272727,NA,NA
1465,4,78,Kerakat S.C.,Hathras ,NA,0.5,NA,NA
1467,4,87,Kerakat S.C.,Agra Cantt. ,NA,0.454545455,NA,NA
1468,4,91,Kerakat S.C.,Fatehpur Sikri,NA,0.5,NA,NA
1469,4,92,Kerakat S.C.,Kheragarh,NA,0.636363636,NA,NA
1470,4,106,Kerakat S.C.,Jalesar ,NA,0.545454545,NA,NA
1471,4,116,Kerakat S.C.,Shekhupur,NA,0.666666667,NA,NA
1472,4,125,Kerakat S.C.,Bareilly Cantt.,NA,0.5,NA,NA
1473,4,128,Kerakat S.C.,Barkhera,NA,0.636363636,NA,NA
1474,4,194,Kerakat S.C.,Farrukhabad,NA,0.785714286,NA,NA
1475,4,216,Kerakat S.C.,Kanpur Cantt.,NA,0.416666667,NA,NA
1477,4,233,Kerakat S.C.,Baberu,NA,0.727272727,NA,NA
1478,4,236,Kerakat S.C.,Chitrakoot,NA,0.583333333,NA,NA
1479,4,240,Kerakat S.C.,Fatehpur   ,NA,0.615384615,NA,NA
1484,4,277,Kerakat S.C.,Katehari,NA,0.545454545,NA,NA
1485,4,281,Kerakat S.C.,Akbarpur  ,NA,0.666666667,NA,NA
1486,4,284,Kerakat S.C.,Matera,NA,0.6,NA,NA
1487,4,297,Kerakat S.C.,Katra Bazar,NA,0.545454545,NA,NA
1488,4,322,Kerakat S.C.,Gorakhpur Urban,NA,NA,11,11
1489,4,323,Kerakat S.C.,Gorakhpur Rural,NA,NA,11,11
1490,4,338,Kerakat S.C.,Pathardeva,NA,0.692307692,NA,NA
1491,4,346,Kerakat S.C.,Mubarakpur,NA,0.769230769,NA,NA
1492,4,357,Kerakat S.C.,Belthara Road ,NA,0.642857143,NA,NA
1495,4,388,Kerakat S.C.,Varanasi North,NA,NA,10,10
1496,4,389,Kerakat S.C.,Varanasi South,NA,NA,9,9
1501,5,43,Kishani (SC),Siwalkhas,NA,0.583333333,NA,NA
1503,5,69,Kishani (SC),Shikarpur,NA,0.615384615,NA,NA
1506,5,98,Kishani (SC),Shikohabad,NA,0.615384615,NA,NA
1517,5,179,Kishani (SC),Harchandpur,NA,0.714285714,NA,NA
1519,5,183,Kishani (SC),Unchahar,NA,0.666666667,NA,NA
1521,5,198,Kishani (SC),Kannauj ,NA,0.666666667,NA,NA
1522,5,202,Kishani (SC),Bidhuna,NA,0.692307692,NA,NA
1523,5,231,Kishani (SC),Charkhari,NA,0.545454545,NA,NA
1526,5,258,Kishani (SC),Handia,NA,0.636363636,NA,NA
1527,5,260,Kishani (SC),Karachhana,NA,0.545454545,NA,NA
1530,5,325,Kishani (SC),Khajani ,NA,0.454545455,NA,NA
1531,5,339,Kishani (SC),Rampur Karkhana,NA,0.642857143,NA,NA
1532,5,360,Kishani (SC),Phephana,NA,0.75,NA,NA
1533,5,362,Kishani (SC),Bansdih,NA,0.583333333,NA,NA
1534,5,373,Kishani (SC),Jakhanian ,NA,0.454545455,NA,NA
1535,5,381,Kishani (SC),Sakaldiha,NA,0.583333333,NA,NA
1536,5,383,Kishani (SC),Chakia ,NA,0.4,NA,NA
1539,5,398,Kishani (SC),Chunar,NA,0.666666667,NA,NA
1540,5,403,Kishani (SC),Duddhi ,NA,0.75,NA,NA
1542,6,6,Machhlishahr S.C.,Rampur Maniharan ,NA,0.538461538,NA,NA
1544,6,12,Machhlishahr S.C.,Charthawal,NA,0.583333333,NA,NA
1547,6,27,Machhlishahr S.C.,Moradabad Rural,NA,0.642857143,NA,NA
1548,6,30,Machhlishahr S.C.,Bilari,NA,0.636363636,NA,NA
1549,6,32,Machhlishahr S.C.,Asmoli,NA,0.545454545,NA,NA
1551,6,35,Machhlishahr S.C.,Chamraua,NA,0.545454545,NA,NA
1553,6,37,Machhlishahr S.C.,Rampur  ,NA,0.666666667,NA,NA
1555,6,41,Machhlishahr S.C.,Amroha,NA,0.636363636,NA,NA
1558,6,59,Machhlishahr S.C.,Hapur ,NA,0.666666667,NA,NA
1559,6,72,Machhlishahr S.C.,Barauli,NA,0.666666667,NA,NA
1560,6,73,Machhlishahr S.C.,Atrauli,NA,0.666666667,NA,NA
1565,6,84,Machhlishahr S.C.,Mathura,NA,0.666666667,NA,NA
1567,6,105,Machhlishahr S.C.,Marhara,NA,0.6,NA,NA
1570,6,110,Machhlishahr S.C.,Karhal,NA,0.636363636,NA,NA
1571,6,118,Machhlishahr S.C.,Baheri,NA,0.666666667,NA,NA
1572,6,120,Machhlishahr S.C.,Bhojipura,NA,0.733333333,NA,NA
1573,6,124,Machhlishahr S.C.,Bareilly,NA,0.692307692,NA,NA
1574,6,130,Machhlishahr S.C.,Bisalpur,NA,0.615384615,NA,NA
1575,6,133,Machhlishahr S.C.,Tilhar,NA,0.545454545,NA,NA
1576,6,136,Machhlishahr S.C.,Dadraul,NA,0.75,NA,NA
1578,6,141,Machhlishahr S.C.,Dhaurahra,NA,0.75,NA,NA
1580,6,144,Machhlishahr S.C.,Mohammdi,NA,0.666666667,NA,NA
1582,6,148,Machhlishahr S.C.,Laharpur,NA,0.666666667,NA,NA
1583,6,152,Machhlishahr S.C.,Sidhauli ,NA,0.5,NA,NA
1584,6,153,Machhlishahr S.C.,Misrikh ,NA,0.454545455,NA,NA
1585,6,156,Machhlishahr S.C.,Hardoi,NA,0.666666667,NA,NA
1586,6,168,Machhlishahr S.C.,Malihabad,NA,0.583333333,NA,NA
1587,6,176,Machhlishahr S.C.,Mohanlalganj ,NA,0.642857143,NA,NA
1588,6,180,Machhlishahr S.C.,Rae Bareli,NA,0.583333333,NA,NA
1590,6,186,Machhlishahr S.C.,Amethi,NA,0.666666667,NA,NA
1591,6,187,Machhlishahr S.C.,Isauli,NA,0.636363636,NA,NA
1593,6,193,Machhlishahr S.C.,Amritpur,NA,0.692307692,NA,NA
1596,6,209,Machhlishahr S.C.,Bilhaur,NA,0.583333333,NA,NA
1597,6,210,Machhlishahr S.C.,Bithoor,NA,0.769230769,NA,NA
1598,6,213,Machhlishahr S.C.,Sishamau,NA,0.545454545,NA,NA
1599,6,217,Machhlishahr S.C.,Maharajpur,NA,0.692307692,NA,NA
1600,6,218,Machhlishahr S.C.,Ghatampur ,NA,0.642857143,NA,NA
1601,6,219,Machhlishahr S.C.,Madhaugarh,NA,0.692307692,NA,NA
1602,6,226,Machhlishahr S.C.,Lalitpur,NA,0.692307692,NA,NA
1609,6,244,Machhlishahr S.C.,Rampur Khas,NA,0.538461538,NA,NA
1610,6,251,Machhlishahr S.C.,Sirathu,NA,0.583333333,NA,NA
1613,6,254,Machhlishahr S.C.,Phaphamau,NA,0.75,NA,NA
1621,6,285,Machhlishahr S.C.,Mahasi,NA,0.5,NA,NA
1622,6,286,Machhlishahr S.C.,Bahraich,NA,0.545454545,NA,NA
1623,6,291,Machhlishahr S.C.,Tulsipur,NA,0.692307692,NA,NA
1624,6,294,Machhlishahr S.C.,Balrampur ,NA,0.615384615,NA,NA
1626,6,307,Machhlishahr S.C.,Harraiya,NA,0.636363636,NA,NA
1627,6,309,Machhlishahr S.C.,Rudhauli,NA,0.583333333,NA,NA
1628,6,321,Machhlishahr S.C.,Pipraich,NA,0.545454545,NA,NA
1629,6,323,Machhlishahr S.C.,Gorakhpur Rural,NA,0.666666667,NA,NA
1630,6,326,Machhlishahr S.C.,Chauri-Chaura,NA,0.583333333,NA,NA
1633,6,335,Machhlishahr S.C.,Ramkola,NA,0.666666667,NA,NA
1635,6,343,Machhlishahr S.C.,Atrauliya,NA,0.692307692,NA,NA
1637,6,347,Machhlishahr S.C.,Azamgarh,NA,0.666666667,NA,NA
1638,6,349,Machhlishahr S.C.,Phoolpur Pawai,NA,0.571428571,NA,NA
1639,6,356,Machhlishahr S.C.,Mau,NA,0.818181818,NA,NA
1640,6,367,Machhlishahr S.C.,Malhani,NA,0.545454545,NA,NA
1642,6,370,Machhlishahr S.C.,Mariyahu,NA,0.583333333,NA,NA
1644,6,380,Machhlishahr S.C.,Mughalsarai,NA,0.416666667,NA,NA
1646,6,386,Machhlishahr S.C.,Shivpur,NA,0.692307692,NA,NA
1648,6,396,Machhlishahr S.C.,Mirzapur,NA,0.692307692,NA,NA
1649,6,399,Machhlishahr S.C.,Marihan,NA,0.545454545,NA,NA
1650,6,400,Machhlishahr S.C.,Ghorawal,NA,0.692307692,NA,NA
1653,7,5,Mahadewa S.C,Deoband,NA,0.769230769,NA,NA
1658,7,68,Mahadewa S.C,Debai,NA,0.75,NA,NA
1659,7,93,Mahadewa S.C,Fatehabad,NA,0.692307692,NA,NA
1665,7,200,Mahadewa S.C,Etawah,NA,0.636363636,NA,NA
1671,7,259,Mahadewa S.C,Meja,NA,0.727272727,NA,NA
1673,7,275,Mahadewa S.C,Ayodhya,NA,0.75,NA,NA
1678,7,315,Mahadewa S.C,Pharenda,NA,0.692307692,NA,NA
1684,7,368,Mahadewa S.C,Mungra Badshahpur,NA,NA,12,12
1689,8,2,SRI NAGAR,Nakur,NA,0.666666667,NA,NA
1691,8,4,SRI NAGAR,Saharanpur  ,NA,0.5,NA,NA
1694,8,8,SRI NAGAR,Kairana,NA,0.5,NA,NA
1695,8,9,SRI NAGAR,Thana Bhawan,NA,NA,9,9
1696,8,13,SRI NAGAR,Purqazi ,NA,0.636363636,NA,NA
1699,8,18,SRI NAGAR,Nagina ,NA,0.285714286,NA,NA
1705,8,39,SRI NAGAR,Dhanaura ,NA,0.6,NA,NA
1706,8,42,SRI NAGAR,Hasanpur,NA,0.6,NA,NA
1708,8,45,SRI NAGAR,Hastinapur ,NA,0.454545455,NA,NA
1709,8,53,SRI NAGAR,Loni,NA,0.777777778,NA,NA
1717,8,66,SRI NAGAR,Syana,NA,0.625,NA,NA
1718,8,67,SRI NAGAR,Anupshahr,NA,0.6,NA,NA
1720,8,77,SRI NAGAR,Iglas ,NA,0.375,NA,NA
1723,8,88,SRI NAGAR,Agra South,NA,0.545454545,NA,NA
1731,8,101,SRI NAGAR,Amanpur,NA,0.7,NA,NA
1732,8,107,SRI NAGAR,Mainpuri,NA,0.6,NA,NA
1734,8,115,SRI NAGAR,Badaun,NA,0.8,NA,NA
1735,8,116,SRI NAGAR,Shekhupur,NA,NA,7,7
1741,8,135,SRI NAGAR,Shahjahanpur,NA,NA,8,8
1742,8,138,SRI NAGAR,Nighasan,NA,0.375,NA,NA
1743,8,139,SRI NAGAR,Gola Gokrannath,NA,0.583333333,NA,NA
1746,8,147,SRI NAGAR,Hargaon ,NA,0.444444444,NA,NA
1747,8,152,SRI NAGAR,Sidhauli ,NA,NA,7,7
1750,8,157,SRI NAGAR,Gopamau ,NA,0.727272727,NA,NA
1751,8,158,SRI NAGAR,Sandi ,NA,0.375,NA,NA
1752,8,159,SRI NAGAR,Bilgram-Mallanwan,NA,0.583333333,NA,NA
1754,8,162,SRI NAGAR,Bangermau,NA,0.636363636,NA,NA
1756,8,166,SRI NAGAR,Bhagwantnagar,NA,NA,8,8
1758,8,169,SRI NAGAR,Bakshi Kaa Talab,NA,NA,11,11
1762,8,181,SRI NAGAR,Salon ,NA,0.555555556,NA,NA
1765,8,184,SRI NAGAR,Jagdishpur ,NA,0.5,NA,NA
1768,8,189,SRI NAGAR,Sadar,NA,0.625,NA,NA
1769,8,191,SRI NAGAR,Kadipur ,NA,0.636363636,NA,NA
1770,8,192,SRI NAGAR,Kaimganj ,NA,0.5,NA,NA
1772,8,194,SRI NAGAR,Farrukhabad,NA,NA,8,8
1773,8,196,SRI NAGAR,Chhibramau,NA,NA,7,7
1774,8,199,SRI NAGAR,Jaswantnagar,NA,NA,6,6
1775,8,201,SRI NAGAR,Bharthana ,NA,0.6,NA,NA
1778,8,204,SRI NAGAR,Auraiya ,NA,0.555555556,NA,NA
1779,8,206,SRI NAGAR,Akbarpur - Raniya,NA,0.615384615,NA,NA
1787,8,215,SRI NAGAR,Kidwai Nagar,NA,0.4,5,5
1788,8,219,SRI NAGAR,Madhaugarh,NA,NA,7,7
1795,8,234,SRI NAGAR,Naraini ,NA,0.285714286,NA,NA
1796,8,235,SRI NAGAR,Banda,NA,0.777777778,NA,NA
1797,8,237,SRI NAGAR,Manikpur,NA,0.636363636,NA,NA
1798,8,238,SRI NAGAR,Jahanabad,NA,NA,6,6
1799,8,242,SRI NAGAR,Husainganj,NA,NA,7,7
1800,8,248,SRI NAGAR,Pratapgarh,NA,NA,6,6
1801,8,250,SRI NAGAR,Raniganj,NA,0.375,NA,NA
1804,8,264,SRI NAGAR,Bara ,NA,0.625,NA,NA
1805,8,265,SRI NAGAR,Koraon ,NA,0.555555556,NA,NA
1806,8,266,SRI NAGAR,Kursi,NA,0.666666667,NA,NA
1809,8,269,SRI NAGAR,Zaidpur ,NA,0.636363636,NA,NA
1815,8,288,SRI NAGAR,Kaiserganj,NA,0.4,NA,NA
1818,8,292,SRI NAGAR,Gainsari,NA,0.142857143,NA,NA
1821,8,297,SRI NAGAR,Katra Bazar,NA,NA,6,6
1822,8,298,SRI NAGAR,Colonelganj,NA,NA,8,8
1823,8,300,SRI NAGAR,Mankapur ,NA,0.636363636,NA,NA
1824,8,301,SRI NAGAR,Gaura,NA,0.625,NA,NA
1826,8,304,SRI NAGAR,Bansi,NA,0.5,NA,NA
1827,8,306,SRI NAGAR,Doomariyaganj,NA,0.583333333,9,9
1829,8,310,SRI NAGAR,Basti Sadar,NA,0.5,5,5
1830,8,312,SRI NAGAR,Menhdawal,NA,NA,7,7
1832,8,318,SRI NAGAR,Maharajganj ,NA,0.5,NA,NA
1834,8,320,SRI NAGAR,Caimpiyarganj,NA,0.583333333,9,9
1838,8,327,SRI NAGAR,Bansgaon,NA,0.555555556,NA,NA
1839,8,328,SRI NAGAR,Chillupar,NA,NA,6,6
1841,8,332,SRI NAGAR,Fazilnagar,NA,0.5,4,4
1845,8,340,SRI NAGAR,Bhatpar Rani,NA,0.545454545,NA,NA
1846,8,344,SRI NAGAR,Gopalpur,NA,0.727272727,NA,NA
1848,8,346,SRI NAGAR,Mubarakpur,NA,NA,8,8
1852,8,350,SRI NAGAR,Didarganj,NA,0.444444444,NA,NA
1855,8,358,SRI NAGAR,Rasara,NA,0.571428571,NA,NA
1858,8,363,SRI NAGAR,Bairia,NA,0.625,NA,NA
1864,8,375,SRI NAGAR,Ghazipur,NA,0.636363636,NA,NA
1866,8,379,SRI NAGAR,Zamania,NA,0.666666667,NA,NA
1875,8,393,SRI NAGAR,Gyanpur,NA,0.6,NA,NA
1876,8,394,SRI NAGAR,Aurai ,NA,0.5,NA,NA
1882,9,7,Vishwanathganj,Gangoh,NA,0.636363636,NA,NA
1886,9,40,Vishwanathganj,Naugawan Sadat,NA,0.538461538,NA,NA
1887,9,52,Vishwanathganj,Baghpat,NA,0.666666667,NA,NA
1888,9,56,Vishwanathganj,Ghaziabad,NA,0.692307692,NA,NA
1895,9,100,Vishwanathganj,Kasganj,NA,0.545454545,NA,NA
1896,9,103,Vishwanathganj,Aliganj,NA,0.545454545,NA,NA
1908,9,154,Vishwanathganj,Sawaijpur,NA,0.615384615,NA,NA
1918,9,225,Vishwanathganj,Garautha,NA,0.666666667,NA,NA
1919,9,232,Vishwanathganj,Tindwari,NA,0.583333333,NA,NA
1920,9,238,Vishwanathganj,Jahanabad,NA,0.666666667,NA,NA
1924,9,248,Vishwanathganj,Pratapgarh,NA,0.666666667,NA,NA
1931,9,289,Vishwanathganj,Bhinga,NA,0.545454545,NA,NA
1933,9,298,Vishwanathganj,Colonelganj,NA,0.714285714,NA,NA
1935,9,302,Vishwanathganj,Shohratgarh,NA,0.583333333,NA,NA
1941,9,316,Vishwanathganj,Nautanwa,NA,0.636363636,NA,NA
1942,9,317,Vishwanathganj,Siswa,NA,0.6,NA,NA
1948,9,351,Vishwanathganj,Lalganj,NA,0.636363636,NA,NA
1949,9,354,Vishwanathganj,Ghosi,NA,0.636363636,NA,NA
1953,9,397,Vishwanathganj,Majhawan,NA,0.545454545,NA,NA
1954,9,401,Vishwanathganj,Robertsganj,NA,0.571428571,NA,NA
